title,time,summary,details,keywords
Madrasa headmaster’s 4-year-old son found dead in teacher’s wardrobe,02 January 2020 08:08 PM,Police have detained a madrasa teacher in Gazipur’s Kaliganj Upazila after the 4-year-old son of the headmaster was found dead in his wardrobe.,"The body of Md Adil was recovered in the Morash Jamiatul Madrasa and Orphanage in Jongalia union on Wednesday night, Pankaj Dutta, additional superintendent of police for Kaliganj-Kapasia circle, said. Adil’s father Mufti Zobayer Ahmed told bdnews24.com on Thursday that he had rebuked teacher Zonayed Ahmed, 30, some days ago when another teacher, Khairul Islam, 25, had suspected Zonayed of mobile phone theft. As Adil did not return home after playing outdoors in the afternoon, people began looking for him. At one stage, they interrogated Zonayed and Khairul when their behaviour aroused suspicion. Zonayed admitted to killing Adil and the body was found in his wardrobe following his confession, Zobayer said. The headmaster said they handed both Zonayed and Khairul to police. “Zonayed admitted to strangling Adil to avenge his insult,” Additional SP Pankaj said. The body was sent to Shaheed Tajuddin Ahmad Medical College Hospital for post-mortem examination.","Gazipur Madrasa, boy found dead in wardrobe, madrasa teacher arrested"
51 die from winter illnesses in Bangladesh,06 January 2020 01:14 PM,At least 51 people have died from cold-related illnesses in Bangladesh since the beginning of winter.,"The country's lowest temperature in 2019 was recorded at 4.5 degrees Celsius in Tetulia, a border area in Bangladesh's north. Close to 315,000 people have been suffering from various cold-related illnesses, mostly respiratory infection and diarrhoea, from Nov 1 of last year to this year’s Jan 3, according to the government’s health directorate. Of them, 125,653 people received treatment from hospitals across the country for diarrhoea, 50,786 people for respiratory infection and 141,010 people for jaundice, skin rash, eye infection, lymphadenopathy, fever and other diseases. At least 17 people died of acute respiratory infection and 34 from diarrhoea caused by rotavirus and other diseases across Bangladesh, said Ayesha Akhter, a senior official of the directorate. “Most of the people were affected by severe cold weather in December. But the number of patients decreased in January,” she added. More than 250 children were diagnosed with cold-related illnesses each day at Khulna Shishu Hospital by the end of December. Two separate cold waves swept across the country at the beginning of winter. The Met Office has predicted three more cold waves to sweep across the country in January.",Bangladesh
Muggers shoot dead Bangladeshi youth in South Africa,15 January 2020 12:35 AM,"Muggers have killed a young Bangladeshi man in South Africa, according to his family.","The deceased, Abdul Karim Harun, 28, hails from Feni’s Daganbhuiyan.He ran a store in Port Elizabeth for five years, his elder brother Md Haider said. Quoting their relatives in South Africa, Haider said the muggers stopped Harun around midnight Bangladesh time on Monday when he was returning to his shop after purchasing goods.The muggers fled with the goods after shooting him dead when he resisted, Haider said.Later, the locals sent the body to a hospital for post-mortem examination. Harun’s father Abdul Gafur sought the attention of the government to bring back the son’s dead body to the country.",Bangladesh
Two Rohingya 'drug traders' die in alleged shootout in Teknaf,15 January 2020 01:14 PM,Two Rohingya refugees with alleged ties to a drug cartel have been killed in a so-called shootout with the Rapid Action Battalion in Cox's Bazar's Teknaf Upazila.,"The incident took place on the Cox's Bazar-Teknaf Marine Drive in the Upazila's Bahahchhara Union early Wednesday, said ASP Shah Alam, squadron commander of the RAB's Howaikyang Camp. The dead were identified as Abdul Hashim, 30, and Mohammed Ayub, 28, both residents of the refugee camp in Ukhia's Kutupalong. They were members of a drug trafficking organisation, according to the elite police unit. Tipped off about the arrival of a consignment of yaba tablets, the RAB set up a checkpoint in the area, said ASP Alam. Law enforcers spotted a few suspicious people in a car and motioned for the vehicle to stop. ""At that point, they opened fire on the RAB officers who in turn retaliated in self defence. Two people were shot in the gunfight and were subsequently rushed to Teknaf Upazila Health Complex where doctors declared them dead."" The RAB recovered 10,000 yaba tablets, two guns and five bullets from the spot, according to ASP Alam.",Bangladesh
Chattogram airport on alert amid China's coronavirus outbreak,21 January 2020 02:58 PM,The authorities at Chattogram Shah Amanat International Airport have followed their counterparts in Dhaka by taking precautionary measures against a growing threat of a deadly coronavirus which has broken out in China and is reportedly capable of being spread by humans.,"“We are staying alert over the issue,” Chattogram Airport Manager Wing Commander Sarwar e Zaman told bdnews24.com. Chattogram does not have any direct flights to and from China but those who are arriving in the port city via Dubai or India from China are requested to consult doctors, he said. Public awareness programmes are being conducted at the airport following a directive from Chattaogram division's health officer, said Sarwar. The mysterious coronavirus has reportedly killed at least four people and infected more than 200 in China, according to the international news agency Reuters. It is now capable of spreading from person to person, a prominent Chinese scientist said Monday, adding to fears of a broader epidemic. Health authorities around the world have stepped up screening and the World Health Organisation, or WHO, has called a meeting on Wednesday to consider declaring an international health emergency. The primary source of the virus is most likely animal and Chinese officials have linked the outbreak to a seafood market in Wuhan. Coronaviruses are named for the spikes that protrude from their membranes, like the sun’s corona. Such viruses cause several illnesses of the respiratory tract, ranging from the common cold to severe diseases like SARS. According to the WHO, common signs of infection include fever, cough, and respiratory difficulties like shortness of breath. Serious cases can lead to pneumonia, kidney failure and even death.",Bangladesh
2 Bangladeshis die in alleged BSF fire on Lalmonirhat border,22 January 2020 03:09 PM,"The Indian Border Security Force, or BSF, has allegedly shot dead two Bangladeshis along the border in Lalmonirhat's Daikhaowa.","The incident occurred near the Bonchouki BOP camp around 6 am on Wednesday, according to Lt Col Touhidul Alam, captain of Border Guards Bangladesh's Battalion 15. The dead have been identified as Suruj Mia, 32, a native of Purbo Amjhol village in Lalmonirhat, and his 17-year-old namesake from the same village. A group of about 10 cattle herders were approaching the Indian border in Daikhaowa when BSF troopers at Paglamari camp opened fire on them, said Touhidul. One of the victims died on the spot while the other passed away after being taken to Rangpur Medical College Hospital. The BGB has written to the BSF in protest against the killings of the two Bangladeshis at the border, said Touhidul. They have also requested a flag meeting between the border forces over the incident. The bodies have been sent to Lalmonirhat Sadar Hospital's morgue for post-mortem examinations, according to the BGB.",Bangladesh
Bangladeshi dies in alleged BSF firing in Naogaon border,23 January 2020 08:27 PM,The Indian Border Security Force or BSF has allegedly shot dead a Bangladeshi near Naogaon’s Hapania border.,"But a local public representative said at least three people were killed there. Border Guard Bangladesh confirmed the news of one death and said they received reports of more casualties. A few Bangladeshis approached the border near Duarpal to bring cattle on Wednesday night, Abul Kalam Azad, the chairman of Nitpur union council, said on Thursday. “The BSF men from India’s Kedaripara camp opened fire on them while they were returning to Bangladesh with cattle,” he said. Mafizul Islam, 35, was found dead near the Bangladesh side later while Ranjit Kumar, 25, and Kamal Hossain, 32, went missing after the incident, Azad said. Ranjit and Kamal also died in the incident and the BSF took the bodies, he claimed, citing their companions. The victims are from Dighipra village of Porsha. Mokhlesur Rahman, the Hapania camp commander of BGG 16 Battalion, confirmed the news of Mafizul’s death. “We have heard that three people were shot…We are checking whether the two others died in India,"" he added. The BGB would send a letter to the BSF for a flag meeting on the issue, Lt Col Ariful Haque, the commander of BGB-16 Battalion, said.","BSF firing, Bangladeshi cattle smuggler, BGB"
Suspected killer of 31 fishermen dies in alleged shootout,26 January 2020 10:43 AM,"Morshed Alam, a suspect in the murders of 31 fishermen, has been killed in an alleged shootout with the Rapid Action Battalion or RAB in Chattogram.","The gunfight occurred early on Sunday morning in the Lotmoni Pahar area of Banshkhali Upazila’s Banigram, said RAB-7 Assistant Director ASP Tarek Aziz. RAB said that the 35-year-old Morshed stood accused in at least 31 cases, including charges of murder, robbery and piracy. Alam was the lone suspect in the 2012 killing of 31 fishermen, who were thrown overboard from a trawler in the Bay of Bengal. ASP Tarek told bdnews24.com that a RAB patrol unit was dispatched to the Lotmoni Pahar area after law enforcers received a tip that Morshed and his accomplices were meeting there. “Morshed and his accomplices noted the presence of RAB and opened fire. RAB retaliated. At one point in the shootout, Morshed’s men began to flee. Morshed’s body was recovered from the scene after the gunfight and had bullet wounds.” RAB recovered several firearms, bullets and sharp weapons from the scene, he added.","RAB, shootout, Chattogram, weapons"
Govt to bring back Bangladeshis from China amid coronavirus outbreak,27 January 2020 02:30 PM,"The government plans to bring back Bangladeshis, if willing, from China amid coronavirus outbreak, State Minister for Foreign Affairs Shahriar Alam said in a Facebook post on Monday.","“Prime Minister Sheikh Hasina has ordered arrangements for the return of Bangladeshi nationals, if willing, from China.” Talks have been initiated with the Chinese government regarding the matter, he said, adding the process will depend on the local administration’s consent.A preliminary directive will be issued on Monday to list those interested in returning home from China, the Alam said. There are about 400 Bangladeshi students in Wuhan, the epicentre of coronavirus outbreak, Bangladesh's foreign ministry said in a statement on Saturday. However, no person living in Bangladesh has been infected with the virus yet. In the wake of the outbreak, the Bangladesh Embassy in Beijing has launched a hotline to address any urgent need. Students and researchers can dial +86 178-0111-6005 to receive 24/7 assistance. The virus has spread to Thailand, Vietnam, Taiwan, South Korea, Japan, Malaysia, Singapore, Nepal, the US, France, Australia and Canada over the past few days. As of Jan 27, the virus has killed 81 people in China and infected more than 2,750 globally, according to Reuters.","Coronavirus, outbreak, Bangladeshi nationals"
Hasina puts Bangladesh on alert as coronavirus fears intensify,27 January 2020 08:10 PM,Prime Minister Sheikh Hasina has ordered government officials to stay fully alert to the threat of a novel coronavirus that has killed 81 people in China in a bid to prevent it from spreading to Bangladesh.,"She gave the directive at a cabinet meeting at the Secretariat on Monday, said Cabinet Secretary Khandker Anwarul Islam. “The prime minister said we must be more alert and attentive to the threat. We must thoroughly screen passengers coming into the country from China,” he said. “Everyone must be careful. We need to set up special quarantine measures in airports and ports so that it doesn’t spread in Bangladesh.” The authorities have been instructed to keep an eye on passengers arriving in the country from China or Hong Kong, according to Anwarul. Ports receiving goods directly from China will also be under the scanner. As worries grew around the world, Chinese-ruled Hong Kong, which has had eight confirmed cases, banned entry to people who had visited Hubei in the past 14 days. The ban did not cover Hong Kong residents. The number of deaths from the flu-like virus in Hubei climbed to 76 from 56, health officials said, with five deaths elsewhere in China, including the southern island province of Hainan, which reported its first fatality on Monday. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere.",Bangladesh
