title,time,summary,details
Bangladesh to screen travellers from China at airports for deadly coronavirus,21 January 2020 02:49 AM,The authorities have put the airports on alert to prevent deadly coronavirus from spreading in Bangladesh by screening travellers from China where the number of patients has more than tripled in days and a third person has died.,"The Institute of Epidemiology, Disease Control and Research or IEDCR has in a letter asked the Civil Aviation Authority of Bangladesh to act to avoid the possible risk related to the Chinese virus, Meerjady Sabrina Flora, a director at the institute, told bdnews24.com on Monday. The government’s disease wing has also trained health workers at the airports for detection of patients with symptoms of coronavirus infection, which include fever, coughing and difficulty with breathing, she said. “We are closely monitoring the matter…We are alert and prepared,” she added. The measures to prevent a possible spread of the virus include screening travellers from China by using thermal scanner to detect fever, according to Flora. The travellers from China will be given health cards and asked to contact the IEDCR if they have fever within 14 days from arrival. The IEDCR has also alerted the three airlines that operate direct flights from China. Those ferrying passengers from China via other countries have also been contacted, Flora said. The travellers from China will have to fill in the health cards with certain information, AHM Touhid-ul Ahsan, a director at Hazrat Shahjalal International Airport in Dhaka, said. If any traveller is found with temperature higher than 100 degrees Fahrenheit, he or she will be kept in an observation room at the airport, according to Ahsan. The traveller will be shifted to the Kurmitola General Hospital if necessary, he said. The airport authorities were also displaying symptoms of coronavirus infection on digital boards to raise awareness, Ahsan added.  Tourist line-up in a health control at the arrival section at Suvarnabhumi international airport in Bangkok, Thailand, January 19, 2020. Thailand confirmed two cases of coronavirus from China the previous week. Reuters  Four patients have also been detected outside China after travelling from the country. The virus belongs to the same family of coronaviruses as Severe Acute Respiratory Syndrome, or SARS, which killed nearly 800 people globally during a 2002-03 outbreak that had also emerged in China. The World Health Organisation said on Monday ""an animal source"" appeared most likely to be the primary source of the outbreak and that some ""limited human-to-human transmission"" occurred between close contacts. WHO later convened an emergency committee for Wednesday to assess whether the outbreak constitutes an international health emergency and what measures should be taken to manage it, Reuters reported. So far, the global health body has not recommended trade or travel restrictions, but a panel of independent experts could do so or make other recommendations to limit spread. Authorities around the globe, including in the United States and many Asian countries, have stepped up screening of travellers from Wuhan, the central city where the virus was first discovered."
Bangladesh must stay fully alert to coronavirus: expert,25 January 2020 11:51 PM,"Bangladesh must stay alert and do whatever it takes to prevent the spread of coronavirus from China, an expert has said.","Like many other countries, Bangladesh is highly connected
to China for trade and other reasons. “We must be on maximum alert. And the people should take
it seriously. It’s a matter that cannot be neglected. We must prepare ourselves
assuming that the virus is going to hit Bangladesh within a month,” said
Mushtuq Husain, a former chief scientific officer at the government’s disease
control centre. But Meerjady Sabrina Flora, a director at the Institute
of Epidemiology, Disease Control and Research or IEDCR, said Bangladesh has no
reason to panic. “But it’s necessary to stay prepared. Different countries
have reported coronavirus cases,” she said, adding that the authorities in
local hospitals were preparing separate wards so that any infected patient can
be quarantined immediately after detection. With more than 1,400 people infected worldwide, mostly in
China, Hong Kong declared a virus emergency, scrapped celebrations and
restricted links to mainland China. Australia confirmed its first four cases on Saturday,
Malaysia confirmed three and France reported Europe's first cases on Friday, as
health authorities around the world scrambled to prevent a pandemic. The United States is arranging a charter flight on Sunday
to bring its citizens and diplomats back from Wuhan, the central Chinese city
that is the epicentre of the outbreak, the Wall Street Journal reported. The death toll in China has risen to 41, authorities
reported on Saturday, from 26 a day earlier. As of 6pm local time (1000 GMT),
1,372 people in China have been infected with the virus traced to a seafood
market in Wuhan that was illegally selling wildlife. The virus has also been detected in Thailand, Vietnam,
Singapore, Japan, South Korea, Taiwan, Nepal, Pakistan and the United States.  A woman with mask passes by thermal screening point at international arrival terminal of Kuala Lumpur International Airport in Sepang, Malaysia, Jan 21, 2020. REUTERS  Nine people, mostly travellers from China, came to the
IEDCR to report the suspicion of coronavirus infection but none was found
infected, she said. Husain, however, thinks screening travellers at airports
is not enough because some countries reported coronavirus cases even weeks
after the infected people’s arrival from China without any symptom. “A coronavirus patient can get fever anytime within 14 days from infection. The
travellers from China must report to the IEDCR if they have a fever a few days
after arrival,” he said. Husain also said patients with other diseases should
maintain extra cleanliness. The deaths were reported in cases where the
infected people were suffering from other diseases, he said. The Bangladesh embassy in China was “in touch” with about
400 Bangladeshi students, who have been locked down along with millions in
Wuhan, the foreign ministry said. The embassy also established contact with the Chinese
authorities to ensure urgent support for the expatriates in Wuhan, the ministry
said in a statement. “As of today, no news of any infection or death caused by
coronavirus to any foreigners is reported.” The embassy has opened a hotline number: +86
178-0111-6005."
Experts say Bangladesh risks coronavirus outbreak even as no case reported yet,26 January 2020 11:07 PM,"The authorities have tested over 2,000 travellers from China and no one has been found infected with coronavirus but experts believe Bangladesh still risks an outbreak.","South Asian neighbours Pakistan and Nepal have confirmed coronavirus cases while India has kept over 100 people under observation following screening for a possible exposure to novel coronavirus, or nCoV. Like other countries across the globe, Bangladesh has been screening travellers from China at airports since Jan 21. Travellers at land ports and seaports are also being screened, Health Minister Zahid Maleque told bdnews24.com on Sunday. “We’ve strengthened workforce at these ports. We’ll be able to detect any coronavirus infection,” he added. At Dhaka’s Shahjalal International Airport, Health Officer Md Shahriar Sazzad said they screened a total of 2,190 passengers from China until Sunday. He said the authorities found no one with the symptoms of coronavirus infection that can cause pneumonia, which has been deadly in some cases. The symptoms include fever, coughing and difficulty with breathing. The three airlines that carry passengers directly from China to Dhaka are China Eastern, China Southern, and US-Bangla Airlines. Dragon Airlines operates flights from Hong Kong, where calls have grown to shut the borders with mainland China to minimise the risk of coronavirus infection.  A man wearing two face masks travels in the subway, as the country is hit by an outbreak of the new coronavirus, in Beijing, China Jan 26, 2020. REUTERS  The virus, believed to have originated late last year in a seafood market in the central Chinese city of Wuhan that was illegally selling wildlife, has spread to cities including Beijing and Shanghai. The ability of the new coronavirus to spread is strengthening and infections could continue to rise, China's National Health Commission said on Sunday, according to Reuters. Nearly 2,000 people in China have been infected and 56 killed by the disease. China's National Health Commission Minister Ma Xiaowei said the incubation period for the virus can range from one to 14 days, and the virus is infectious during incubation, which was not the case with Severe Acute Respiratory Syndrome (SARS), the news agency reported. SARS was a coronavirus that originated in China and killed nearly 800 people globally in 2002 and 2003. Bangladesh had reported Middle-East Acute Respiratory Syndrome or MERS, another strain of coronavirus, in a traveller from Abu Dhabi during a 2012 outbreak, believed to have originated from camels.  A worker in a protective suit is seen at the closed seafood market in Wuhan, Hubei province, China Jan 10, 2020. REUTERS  Without symptoms, a person may not know they have the infection, but still be able to spread it, the BBC reported, citing Chinese officials. Dense population has made Bangladesh vulnerable to an outbreak of the new virus if any infected person or animal enters the country, believes Kabirul Bashar, who teaches zoology at the Jahangirngar University. “Animals don’t have borders. No one will be able to stop an infected animal from crossing the border with India. Now the date juice season is under way. The virus can transmit through bats drinking date juice,” he said. “Besides these, people in our country don’t maintain necessary personal and civic hygiene. They spit at random on the streets,” he added. Professor ABM Abdullah, a former dean of Bangabandhu Sheikh Mujib Medical University’s medicine department, said prevention “is very much necessary” as there is no vaccine or specific treatment for the new virus."
Govt to bring back Bangladeshis from China amid coronavirus outbreak,27 January 2020 02:30 PM,"The government plans to bring back Bangladeshis, if willing, from China amid coronavirus outbreak, State Minister for Foreign Affairs Shahriar Alam said in a Facebook post on Monday.","“Prime Minister Sheikh Hasina has ordered arrangements for the return of Bangladeshi nationals, if willing, from China.” Talks have been initiated with the Chinese government regarding the matter, he said, adding the process will depend on the local administration’s consent.A preliminary directive will be issued on Monday to list those interested in returning home from China, the Alam said. There are about 400 Bangladeshi students in Wuhan, the epicentre of coronavirus outbreak, Bangladesh's foreign ministry said in a statement on Saturday. However, no person living in Bangladesh has been infected with the virus yet. In the wake of the outbreak, the Bangladesh Embassy in Beijing has launched a hotline to address any urgent need. Students and researchers can dial +86 178-0111-6005 to receive 24/7 assistance. The virus has spread to Thailand, Vietnam, Taiwan, South Korea, Japan, Malaysia, Singapore, Nepal, the US, France, Australia and Canada over the past few days. As of Jan 27, the virus has killed 81 people in China and infected more than 2,750 globally, according to Reuters."
Hasina puts Bangladesh on alert as coronavirus fears intensify,27 January 2020 08:10 PM,Prime Minister Sheikh Hasina has ordered government officials to stay fully alert to the threat of a novel coronavirus that has killed 81 people in China in a bid to prevent it from spreading to Bangladesh.,"She gave the directive at a cabinet meeting at the Secretariat on Monday, said Cabinet Secretary Khandker Anwarul Islam. “The prime minister said we must be more alert and attentive to the threat. We must thoroughly screen passengers coming into the country from China,” he said. “Everyone must be careful. We need to set up special quarantine measures in airports and ports so that it doesn’t spread in Bangladesh.” The authorities have been instructed to keep an eye on passengers arriving in the country from China or Hong Kong, according to Anwarul. Ports receiving goods directly from China will also be under the scanner.    As worries grew around the world, Chinese-ruled Hong Kong, which has had eight confirmed cases, banned entry to people who had visited Hubei in the past 14 days. The ban did not cover Hong Kong residents. The number of deaths from the flu-like virus in Hubei climbed to 76 from 56, health officials said, with five deaths elsewhere in China, including the southern island province of Hainan, which reported its first fatality on Monday. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere."
Coronavirus panic spreads as 2 of a family die from fever in Munshiganj,27 January 2020 09:45 PM,"A woman and her nephew have died from fever within 16 hours of each other in Munshiganj's Louhajang Upazila, sparking fears of an outbreak of a novel coronavirus which originated in China.","But health officials have preliminarily ruled out the deadly virus as the cause of their deaths, according to the district's Civil Surgeon Dr Abul Kalam Azam. A probe panel has been formed to look into the matter. It came after Mir Abdur Rahman, a 3-year-old boy from the Upazila's Jasaldia village, died an hour after being struck by a fever in the early hours of Monday. His aunt Shamima Begum, 34, died in similar at 8 am on Sunday. According to Shamima's brother-in-law Mir Shiblu, she had been feeling feverish on the morning of her death. The fever gradually intensified and blood clots began appearing on different parts of her body before she died. Abdur began showing the same symptoms shortly after contracting a fever at night, said Shiblu. Although Shamima had been buried without an autopsy, the family took Abdur to the Upazila Health Complex for a check-up. Later, a medical team and officials from the local administration along with a representative of the World Health Organisation visited the village for an inspection on Monday. After the outbreak of the coronavirus in China's Wuhan, authorities have stepped up precautionary measures at airports in Bangladesh with travellers from China being screened on arrival, said Civil Surgeon Abul. Bangladesh is yet to confirm any case of the virus. ""None of their family members have gone or returned from abroad in the last 14 days. Therefore, the initial belief is that their deaths were not caused by the coronavirus. Besides, their deaths can't be attributed to the Nipah virus either as no one in the family consumed any date juice recently."" The total number of confirmed cases of the virus in China has risen to 2,744, about half of them in Hubei province, whose capital is Wuhan – the epicentre of the outbreak. As worries grew around the world, Chinese-ruled Hong Kong, which has had eight confirmed cases, banned entry to people who had visited Hubei in the past 14 days. The ban did not cover Hong Kong residents. The number of deaths from the flu-like virus in Hubei climbed to 76 from 56, health officials said, with five deaths elsewhere in China, including the southern island province of Hainan, which reported its first fatality on Monday. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere."
"Chinese national hospitalised in Dhaka with cold, fever amid coronavirus scare",27 January 2020 10:44 PM,A Chinese national has been hospitalised with a cold and fever in Dhaka amid growing fears over an outbreak of a novel coronavirus which has originated in China.,"The health directorate has decided to run tests on him as a precaution after confirming the development on Monday. Since its outbreak in Wuhan, the death toll from the virus in China has risen to 81, prompting countries around the world to step up preventative measures. Airports in Bangladesh have also installed thermal scanners alongside other screening measures for travellers from China in a bid to prevent the virus from spreading. According to health experts, the symptoms of the coronavirus virus infection -- which can cause pneumonia in some cases -- include fever, coughing and difficulty with breathing.    Aside from undergoing thermal screenings for fever, travellers from China are also being given health cards and asked to contact the Institute of Epidemiology, Disease Control and Research or IEDCR if they have fever within 14 days from arrival. But as on Sunday, the IEDCR did not detect the presence of the virus in any of the over 2,000 people they have tested. Meerjady Sabrina Flora, a director at the IEDCR, however, would not be drawn to comment on the hospitalisation of the Chinese national. ""The hospital has informed us of the matter. If we believe that it is necessary to run tests on the sample then we will do so."" The total number of confirmed cases of the virus in China has risen to 2,744, about half of them in Hubei province, whose capital is Wuhan – the epicentre of the outbreak. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere. Bangladesh is yet to confirm any case of the virus."
Bangladesh not sending experts to China amid coronavirus outbreak,29 January 2020 12:46 AM,"The government has no interest in sending any expert to China to study the coronavirus outbreak, the health minister has said.","Zahid Maleque was discussing the government’s preparations to tackle the situation with reporters at the Secretariat in Dhaka on Tuesday as the new virus claimed more than 100 lives in China in around three weeks. As the flu-like virus has spread to many countries, the authorities in Bangladesh are screening passengers from China at airports to stop the spread of the disease. A reporter asked whether the government was planning to send anyone to China to learn how the country was dealing with the outbreak after an inter-ministerial meeting on awareness and efforts on the contagious virus. Most of the media workers and those attending the meeting broke into laughter at the time as the government is often criticised for spending millions of takas to send officials abroad so that they can gain practical experience. “We don’t feel the need for sending any team of experts at this moment. We will consider it in future if necessary,” came the health minister’s response. Government officials or public university teachers’ foreign tours have made headlines a number of times as they have travelled abroad spending millions of takas from the national exchequer for reasons like mastering the skills of digging pond, or purchasing things like elevators or increasing project capabilities."
Two weeks of home quarantine on return from abroad advised to stop coronavirus spread,29 January 2020 03:13 AM,A doctor has advised those returning from abroad to remain isolated at their homes for two weeks from the date of arrival to stop the spread of novel coronavirus as at least a dozen countries have reported patients with over 100 deaths in China.,"The Bangabandhu Sheikh Mujib Medical University or BSMMU in Dhaka organised a seminar on the new virus on Tuesday. Dr Md Nazmul Ahsan, who presented a paper on prevention and cure of coronavirus, said people should wash hands regularly with soap and use masks. While sneezing or coughing, they should cover their face. The doctor said no one should be in close contact with any coronavirus patient or suspected case as the disease is now believed to have the ability of human-to-human transmission. “And if someone comes from abroad, they should not go outside unless absolutely necessary for two weeks. They must visit a doctor if they detect the symptoms of the disease,” he said, referring to the 14-day incubation period of the new virus. The symptoms of the coronavirus infection include fever, cold, sneezing, coughing, body ache, weakness and looseness, according to Dr Shamim Ahmed of chest diseases department. The doctor said there was no treatment for coronavirus, but the patients can take paracetamol and must eat fluid-based nutritious food. Vice-Chancellor Dr Kanak Kanti Barua warned that the disease may still spread and cause a disaster in densely populated Bangladesh though no coronavirus has been confirmed yet."
DGHS orders list of all China returnees in last 14 days amid virus fears,30 January 2020 10:46 AM,The Directorate General of Health Services has directed local authorities to draw up a list of all returnees from China in the last 14 days amid the outbreak of a fatal coronavirus.,"Deputy commissioners, police superintendents and civil surgeons have been asked to prepare the list in their respective districts, the Institute of Epidemiology, Disease Control and Research or IEDCR said in a statement on Wednesday. The decision was taken at a meeting of the DGHS headed by its Director General Prof Abul Kalam Azad on Tuesday, the statement said.    The authority also briefed the Association of Travel Agents of Bangladesh and  Federation of Bangladesh Chamber of Commerce on travel to China. Airport authorities have not identify any case of the virus in Bangladesh after screening 3,348 passengers as of Wednesday, according to the IEDCR statement said. The IEDCR received 53 calls on its hotline as of now – nine of which were related to the coronavirus. No case of the coronavirus infection has been diagnosed so far."
